[ 14059]
[language), 1]
[language* 4]
[language, 110]
[language. 64]
[language." 1]
[language: 2]
[language; 2]
[language-and 1]
[language-free 1]
[language-independent 1]
[language-oriented 1]
[language-processing 1]
[languages 149]
[languages). 1]
[languages* 1]
[languages, 103]
[languages. 35]
[languages.this 1]
[languages: 4]
[languages; 1]
[languages-compilers, 1]
[languages-its 1]
[lanzano, 1]
[lap6 2]
[lap6, 1]
[lapidus, 2]
[laplace 9]
[laplacian 1]
[laplacian, 1]
[large 182]
[large) 1]
[large, 7]
[large. 2]
[largely 8]
[larger 23]
[larger, 1]
[larger. 1]
[large-scale 8]
[large-scale, 1]
[largest 8]
[larner, 1]
[larreche, 1]
[larsen, 3]
[larson, 2]
[larssen, 1]
[lasker 2]
[lasor, 1]
[lass, 2]
[lassalle, 2]
[lasser, 2]
[last 13]
[last, 2]
[late 2]
[latency 8]
[latency, 1]
[latent 3]
[later 10]
[later, 2]
[latest 2]
[latitude 1]
[latter 10]
[latter, 2]
[lattice 7]
[lattice, 2]
[lattice,absolute, 1]
[lattices 1]
[lattices, 2]
[lattices. 1]
[lau, 1]
[lauesen, 1]
[laughlin, 2]
[lavington, 1]
[law 8]
[law" 2]
[law, 5]
[law. 2]
[lawler, 1]
[lawler's 1]
[lawlor, 1]
[lawrence, 2]
[lawrie, 1]
[laws 4]
[laws, 1]
[laws. 1]
[lawson 1]
[lawyer 1]
[lawyer, 1]
[lawyers 1]
[layered 1]
[layering 1]
[layering, 2]
[layers 1]
[layers, 2]
[layman, 1]
[layman. 1]
[layout 8]
[lay-out 1]
[layout, 4]
[layout. 1]
[layouts 1]
[layouts. 1]
[lays 1]
[layton, 1]
[lazarus, 1]
[lc(k) 1]
[lc(k), 1]
[lead 18]
[leaders 1]
[leaders, 1]
[leading 11]
[leads 9]
[lead-time 1]
[leakage 1]
[leap 1]
[learn 12]
[learn). 1]
[learn. 2]
[learned 5]
[learned. 1]
[learners 1]
[learning 29]
[learning, 12]
[learns) 1]
[leased 1]
[leasing 1]
[leasors 1]
[least 81]
[least-errors 4]
[least-squares 5]
[leave 1]
[leavenworth, 5]
[leaves 6]
[leaving 2]
[lechner, 1]
[lecture. 1]
[led 10]
[ledgard, 5]
[ledger 1]
[ledley 1]
[ledley, 2]
[lee 1]
[lee, 5]
[lee's 2]
[lefkowitz, 1]
[left 12]
[left. 1]
[left-context 1]
[left-recursion-freegrammar. 1]
[left-right 1]
[left-to-right 2]
[legal 16]
[legal, 2]
[legendre 13]
[legislation 1]
[legislative 2]
[legitimate 1]
[lehman, 1]
[lehmer 2]
[lehmer, 1]
[leibowitz, 1]
[leitch, 1]
[lelann's 1]
[lem. 1]
[lem-1, 1]
[lemke's 2]
[lemniscate 3]
[lemniscate, 1]
[lemoli, 1]
[lemos, 1]
[lends 1]
[length 56]
[length, 8]
[length. 7]
[length.) 1]
[lengths 13]
[lengths) 1]
[lengths, 3]
[lengths; 2]
[lent, 1]
[leonard, 2]
[leppik, 1]
[lesem, 1]
[lesh, 1]
[lesk, 4]
[less 50]
[less, 2]
[lesson 1]
[lessons 2]
[let 5]
[letter 8]
[letters 6]
[letters, 3]
[letters. 3]
[level 110]
[level), 1]
[level). 1]
[level, 2]
[level. 6]
[levels 37]
[levels) 1]
[levels, 5]
[levels. 4]
[leverage 1]
[levialdi, 1]
[levien, 1]
[levin, 3]
[levine, 2]
[levitt, 3]
[levy 1]
[levy, 1]
[lew, 1]
[lewart, 1]
[lewi, 1]
[lewin 1]
[lewin, 1]
[lewin's 1]
[lewis 4]
[lewis, 4]
[lexical 16]
[lexicographic 11]
[lexicographical 6]
[lexico-graphical 1]
[lexicographically 1]
[lg 1]
[lg: 1]
[li, 1]
[liabilities, 1]
[liability 4]
[liability, 1]
[liberal 3]
[liberally 1]
[liberated 1]
[liberty, 1]
[librarian 1]
[libraries. 1]
[library 22]
[library, 2]
[library. 5]
[licensing 1]
[lichstein, 2]
[lichten, 1]
[lick, 1]
[lie 6]
[liebman, 2]
[lien, 1]
[lientz, 2]
[lies 5]
[lietzke, 1]
[lieu 1]
[life 3]
[lifetime 4]
[lifetime. 1]
[lifetimes 1]
[lifetimes, 2]
[lifo, 1]
[lifted 1]
[lifted. 1]
[liggett, 1]
[light 12]
[light, 1]
[light. 1]
[lighting 1]
[lightly 1]
[lightpen-controlled 1]
[like 15]
[like: 2]
[likelihood 1]
[likely 9]
[likewise 1]
[limit 8]
[limit, 1]
[limit. 1]
[limitation 1]
[limitations 17]
[limitations, 2]
[limitations. 1]
[limited 46]
[limited, 2]
[limited. 2]
[limited-entry 7]
[limiting 3]
[limits 5]
[limits. 2]
[lin, 1]
[linc 3]
[linc, 1]
[lincoln 4]
[lindstrom, 1]
[line 63]
[line, 2]
[line. 1]
[linear 237]
[linear) 1]
[linearity. 1]
[linearization 2]
[linearization, 2]
[linearized 1]
[linearizing 1]
[linearizing, 1]
[linearly 9]
[linear-o(n)-with 1]
[linear-time 1]
[line-drawing 1]
[lines 32]
[lines, 8]
[lines. 10]
[lines; 1]
[line-scan 1]
[line-structure 1]
[l-infinity 1]
[ling, 2]
[linguist 3]
[linguist. 1]
[linguistic 16]
[linguistics 8]
[linguistics, 15]
[linguists 1]
[liniger, 2]
[link 22]
[link, 3]
[link. 2]
[linkage 15]
[linkage, 3]
[linkages 1]
[linked 20]
[linked, 1]
[linkers 1]
[linking 10]
[linking, 2]
[links 7]
[links. 1]
[lin's 1]
[linz, 2]
[lions' 1]
[lions, 1]
[lions. 1]
[lipis, 1]
[lipkin, 1]
[lipp, 2]
[lippitt, 1]
[lipton, 3]
[liskov, 2]
[liskov,b.h. 1]
[lisp 41]
[lisp) 1]
[lisp, 20]
[lisp. 1]
[lisp-like 4]
[lisp-type 1]
[list 204]
[list) 1]
[list)(expression)(value 1]
[list)(expression). 1]
[list)(value 1]
[list), 1]
[list, 15]
[list. 6]
[listalgorithm 1]
[list-compacting 2]
[list-compaction 1]
[list-creating 1]
[listed 4]
[listed. 3]
[listing 7]
[listings 2]
[listings, 1]
[list-moving 1]
[list-processing 13]
[list-processing, 3]
[lists 36]
[lists, 12]
[lists. 8]
[list-structure 1]
[list-structured 2]
[list-traversal 1]
[list-type 1]
[list-types 1]
[litecky, 1]
[literal 1]
[literary 2]
[literature 15]
[literature, 2]
[literature. 7]
[literature; 2]
[litherland, 2]
[little 27]
[litton 1]
[liu, 1]
[live 2]
[live-dead 1]
[lively 2]
[liveright, 1]
[lives, 1]
[lives. 1]
[lives? 1]
[ll 2]
[ll(1) 1]
[ll(k), 2]
[llllll 1]
[lloyd, 1]
[ln 1]
[ln(1+x). 1]
[ln(x) 1]
[l-norms 1]
[l-notation. 1]
[load 7]
[load, 1]
[load. 1]
[load-and-go 1]
[load-dependent 1]
[loaded 2]
[loader 3]
[loader, 3]
[loaders 1]
[loaders, 2]
[loading 11]
[loading, 1]
[loading; 1]
[loading-speed 1]
[loads 3]
[loads, 1]
[load-time-saver 1]
[lobe 1]
[lobe, 1]
[local 36]
[localities 4]
[localities. 1]
[locality 8]
[localization 4]
[localized 1]
[locally 4]
[locally-organized 3]
[locate 6]
[located 9]
[located. 1]
[locates 1]
[locating 7]
[locating, 1]
[location 14]
[location) 2]
[location, 5]
[location. 5]
[location; 2]
[locations 9]
[location's 1]
[locations, 2]
[locations. 2]
[lochbaum, 1]
[loci 1]
[lock 5]
[lock, 1]
[lock. 1]
[lockemann, 2]
[lockheed 3]
[locking 1]
[locking, 2]
[lockout, 2]
[locks 3]
[locus 3]
[loeckx, 1]
[loeser, 1]
[lofting 1]
[lofting,finite 1]
[log 24]
[log, 1]
[log^2(n). 1]
[log2 4]
[logan, 1]
[logarithm 13]
[logarithmic 11]
[logarithmic, 1]
[logarithms 1]
[logemann, 1]
[loggamma 2]
[logic 46]
[logic, 5]
[logic. 8]
[logical 64]
[logical-decision 1]
[logically 9]
[logic-in-memory 1]
[logic-structure 2]
[log-in 1]
[logistic 2]
[logistics 1]
[logm(n) 1]
[logn 3]
[logn) 2]
[logn). 1]
[logn/log 1]
[lombardi, 1]
[lomis, 1]
[london, 1]
[london's 1]
[long 26]
[long, 1]
[long. 1]
[longer 12]
[longest 8]
[longitude 1]
[longitudinal 1]
[longo, 1]
[long-run 1]
[long-term 1]
[look 5]
[look, 1]
[look-at 1]
[looked 1]
[lookup 6]
[look-up 3]
[lookup, 2]
[look-up, 1]
[lookup. 1]
[loomis, 1]
[loop 14]
[loop, 2]
[loop. 5]
[loop-free 2]
[looping 1]
[looping. 1]
[loops 10]
[loop's 1]
[loops, 8]
[loops. 5]
[loose 1]
[loosely 4]
[lopez, 1]
[lorie, 1]
[los 1]
[loscalzo, 1]
[loss 11]
[loss. 1]
[losses 2]
[losses, 1]
[losses. 1]
[lost 2]
[lot 3]
[lotsch, 1]
[loughhead, 1]
[loui, 1]
[louis 1]
[love, 1]
[loveland, 1]
[loveman 1]
[low 23]
[low, 3]
[low. 1]
[low-cost 3]
[low-degree 1]
[lowe 1]
[lowe, 2]
[lower 22]
[lowest 4]
[low-level 5]
[low-linked 1]
[low-order 2]
[low-pass 1]
[low-precision 1]
[lowry, 2]
[lozano, 1]
[lozano-perez, 1]
[lp 9]
[lpars 1]
[lpars, 1]
[lr 6]
[lr(1) 1]
[lr(k) 14]
[lr(k)" 1]
[lr(m, 2]
[lr, 1]
[lrltran 1]
[lrltran, 1]
[lru 6]
[lst 1]
[lt. 1]
[lu 12]
[lubbert, 1]
[lubin, 1]
[lubkin, 1]
[lucac, 1]
[lucas 1]
[lucas, 3]
[luccio, 4]
[lucid 5]
[lucid, 1]
[ludwig, 1]
[luebbert, 2]
[luh, 1]
[lukehart, 1]
[lum 1]
[lum, 6]
[lunar 2]
[lunde, 1]
[luther, 4]
[lutz, 1]
[ly 1]
[lyche, 1]
[lying 2]
[lynch, 6]
[lynch,w. 1]
[lyness, 2]
[lynn, 1]
[lyon, 3]
[lyons, 1]
[m 38]
[m' 5]
[-m 1]
[m(x) 1]
[m, 3]
[m. 491]
[m.a. 6]
[m.b. 1]
[m.c. 1]
[m.d. 2]
[m.g. 1]
[m.i.t. 1]
[m.i.t.'s 1]
[m.j. 1]
[m.l. 2]
[m.o. 1]
[m.p. 1]
[m.s. 2]
[m/d/1 2]
[m+n 1]
[m<=n, 1]
[m=63, 1]
[m=64), 1]
[m>n 1]
[m1 1]
[m2 1]
[m44/44x, 1]
[m-460 2]
[mac 1]
[macgowan, 1]
[machine 170]
[machine, 19]
[machine. 11]
[machine/algorithm-dependent 1]
[machine: 1]
[machine; 3]
[machine;and 1]
[machine? 1]
[machined 1]
[machine-dependent 1]
[machine-independence 1]
[machine-independence. 1]
[machine-independent 7]
[machine-language 1]
[machine-like 1]
[machine-readable 1]
[machinery 4]
[machinery, 1]
[machinery. 2]
[machinery's 1]
[machines 35]
[machine's 2]
[machines, 10]
[machines. 16]
[machines-a 1]
[machine-to-machine 4]
[machine-written 1]
[machmudov, 1]
[machura, 1]
[mackinney, 2]
[mackinson, 1]
[maclaren, 4]
[maclennan, 1]
[macleod, 3]
[macmillan, 1]
[macon, 2]
[macpherson 1]
[macro 26]
[macro, 2]
[macrocompiler 1]
[macroinstruction 1]
[macro-instructions 2]
[macro-language. 1]
[macromolecules 1]
[macro-operations 1]
[macroprocessor, 1]
[macros 9]
[macros, 2]
[macros. 1]
[macroscopic 1]
[mad 7]
[mad, 1]
[madcap 2]
[madcap: 1]
[madcap's 1]
[made 119]
[made, 6]
[made. 10]
[made; 1]
[madison, 1]
[m-admissible 2]
[madnick, 1]
[madpis, 2]
[maehly 4]
[maehly, 1]
[maehly's 1]
[maer, 1]
[magic 9]
[magna 1]
[magnetic 25]
[magnified 1]
[magnitude 5]
[magnitude, 1]
[magnitude. 2]
[magnitudes. 1]
[magnuski, 1]
[maher, 2]
[mail 1]
[mail" 1]
[mail, 2]
[main 71]
[main, 1]
[mainly 10]
[maintain 8]
[maintain, 1]
[maintained 6]
[maintained. 4]
[maintaining 13]
[maintaining, 1]
[maintains 2]
[maintenance 20]
[maintenance, 10]
[mairson 1]
[mairson, 1]
[major 61]
[major, 1]
[majority 6]
[majority, 1]
[majors 1]
[majors. 2]
[make 50]
[makers 1]
[makers. 1]
[makes 38]
[making 25]
[making, 4]
[makinson, 3]
[malcolm 1]
[malcolm, 5]
[malfunction 1]
[malfunction, 1]
[malfunctioning 1]
[malfunctions 1]
[maloney, 1]
[maly, 4]
[mamrak, 3]
[man 7]
[man/machine 6]
[manage 1]
[manage. 1]
[manageable 1]
[manageable, 1]
[managed 3]
[management 93]
[management, 48]
[management," 1]
[management. 4]
[management: 1]
[management-oriented 1]
[management-salary 1]
[manager 1]
[manager, 2]
[manager. 1]
[manager; 1]
[managerial 1]
[managers 1]
[managers, 1]
[manages 1]
[managing 4]
[manchester 4]
[mancino, 2]
[mancino. 1]
[man-computer 2]
[maniac 5]
[manifest 1]
[manifestation 1]
[manifestations 1]
[manip: 1]
[manipulate 10]
[manipulate, 1]
[manipulated 3]
[manipulated, 2]
[manipulates 1]
[manipulating 14]
[manipulating, 1]
[manipulation 90]
[manipulation, 22]
[manipulation. 6]
[manipulation-a 1]
[manipulations 5]
[manipulations, 1]
[manipulations. 1]
[manipulative 1]
[manipulator 1]
[manipulator. 1]
[manipulators 1]
[manker, 1]
[mankin, 1]
[man-machine 22]
[man-man-machine 1]
[manna, 7]
[manner 21]
[manner, 3]
[manner. 10]
[mano, 2]
[manos, 1]
[manove's 1]
[manpower 1]
[mansfield, 1]
[manthey, 1]
[manual 14]
[manual, 1]
[manual. 1]
[manual? 1]
[manually 3]
[manually. 1]
[manufacture. 1]
[manufacturer. 1]
[manufacturer; 1]
[manufacturers 1]
[manufacturers, 2]
[manufacturers. 1]
[manufacturing 3]
[manufacturing; 1]
[manuscripts, 1]
[man-week 2]
[many 165]
[man-year 2]
[man-years, 2]
[many-electron 2]
[many-many 1]
[many-sided 2]
[many-to-one 1]
[map 21]
[map, 9]
[map. 2]
[map; 1]
[mapped 4]
[mapped. 1]
[mapping 17]
[mapping, 1]
[mapping. 1]
[mappings 7]
[mappings, 2]
[mappings. 1]
[maps 15]
[maps, 6]
[maps. 2]
[marble, 1]
[march, 2]
[marcotty, 1]
[marcus, 2]
[marginal 2]
[marill, 2]
[mark 12]
[marked 6]
[markedly 1]
[markers 1]
[markers, 2]
[markers. 1]
[market 9]
[marketing 1]
[markets 1]
[marking 3]
[marking, 1]
[marking. 1]
[marking; 1]
[markov 13]
[markovian 3]
[marks 1]
[marks, 2]
[marks. 2]
[marovian 1]
[marovich 1]
[marovich, 1]
[marriage 7]
[marriage, 1]
[marriage-with 1]
[marron, 1]
[marsaglia, 4]
[marshall, 3]
[martelli, 2]
[martin, 7]
[martin's 1]
[maruyama, 2]
[marvin 1]
[m-ary 2]
[maryland, 1]
[mashburn, 1]
[mask 11]
[mask, 2]
[masked 2]
[masker, 1]
[masking 2]
[masking. 1]
[masks 2]
[masks, 1]
[masks. 1]
[mason 1]
[mason, 1]
[mass 6]
[massive 1]
[master 7]
[master's 4]
[masterson 1]
[match 11]
[match, 4]
[match. 1]
[match-assuming 1]
[matched 6]
[matches 6]
[matching 27]
[matching, 16]
[matching. 2]
[matching: 1]
[matchings. 1]
[mated 1]
[material 27]
[material, 4]
[material. 2]
[materially 1]
[materials 3]
[materials. 1]
[math 3]
[mathematical 100]
[mathematical-equation 1]
[mathematically 1]
[mathematicians 3]
[mathematicians. 1]
[mathematics 23]
[mathematics, 13]
[mathematics,nonnumerical 1]
[mathematics. 8]
[mathews, 2]
[mathieu 2]
[mathieus 1]
[mathieu's 4]
[mathsort 1]
[matran, 1]
[matrices 74]
[matrices) 2]
[matrices, 30]
[matrices. 10]
[matrices; 1]
[matrix 212]
[matrix, 40]
[matrix. 19]
[matrix; 1]
[matsushita, 1]
[matter 6]
[matter. 2]
[matters 2]
[matters. 1]
[matula, 1]
[matures, 1]
[maurer, 3]
[max 4]
[max, 1]
[maxflow 2]
[maxima 1]
[maximal 9]
[maximally 1]
[maximization, 1]
[maximize 6]
[maximizes 1]
[maximizing 2]
[maximum 24]
[maximum, 1]
[maxwell, 4]
[may 245]
[may, 6]
[maybe 1]
[mayer, 3]
[mayoh, 4]
[maze-running, 2]
[m-by-m 1]
[mc 3]
[mcalester, 1]
[mccall, 1]
[mccalla, 1]
[mccamon, 1]
[mccarthy 1]
[mccarthy, 2]
[mccombs, 1]
[mcconlogue, 1]
[mccormack, 1]
[mccormick, 1]
[mccracken, 1]
[mccreight, 1]
[mcculloch-pitts 1]
[mcdermott, 1]
[mcdonald, 1]
[mcdonough, 1]
[mcfarlan 1]
[mcfarlan, 1]
[mcgeachie, 1]
[mcgee, 1]
[mcguire, 1]
[mcilroy, 3]
[mcintosh, 1]
[mcisaac, 1]
[mckay, 12]
[mckay,j. 1]
[mckeeman, 11]
[mckellar, 1]
[mckenney, 2]
[mclaughlin, 1]
[mclean, 2]
[mcllroy. 1]
[mcmaster, 1]
[mcmillen, 1]
[mcmorrow, 1]
[mcnamee, 1]
[mcnaughton, 1]
[mcvitie, 2]
[mcwilliams, 1]
[meager 1]
[meagher, 1]
[mealy 1]
[mean 36]
[mean, 6]
[mean-finishing-time 1]
[meaning 15]
[meaning, 2]
[meaning. 3]
[meaningful 6]
[meaningfulness 1]
[meaningless 1]
[meaningless. 1]
[meanings 2]
[means 94]
[means, 3]
[means. 3]
[meant 3]
[measurable 2]
[measure 18]
[measure. 2]
[measured 12]
[measured. 1]
[measurement 29]
[measurement, 20]
[measurements 18]
[measurements, 1]
[measurements. 2]
[measurements-may 1]
[measures 11]
[measures, 3]
[measures. 1]
[measuring 10]
[measuring, 1]
[mechanical 21]
[mechanically 3]
[mechanics 5]
[mechanics, 1]
[mechanics. 2]
[mechanism 31]
[mechanism,which 1]
[mechanism. 1]
[mechanisms 31]
[mechanisms, 8]
[mechanisms. 3]
[mechanization 7]
[mechanize 1]
[mechanized 3]
[mechanizing 2]
[media 1]
[media. 1]
[median 6]
[medians, 2]
[mediate 1]
[medical 7]
[medicine 4]
[medicine, 1]
[medicine. 2]
[mediocre 1]
[medium 12]
[medium, 1]
[medium-scale 1]
[medium-sized 1]
[medium-speed 1]
[medlock, 2]
[meet 8]
[meeting 5]
[meetings 6]
[meets 3]
[meisel, 1]
[meissner, 1]
[melen, 1]
[melkanoff, 1]
[melodies, 1]
[melody 1]
[member 3]
[member, 1]
[members 15]
[membership 1]
[membership. 1]
[memories 9]
[memories, 6]
[memories. 3]
[memorized 1]
[memory 296]
[memory) 1]
[memory, 63]
[memory. 32]
[memory/processor 1]
[memory: 1]
[memory; 1]
[memory-content-generated 1]
[memory-pause 2]
[memory's 1]
[memory-to-storage 1]
[men. 1]
[mendelsohn, 1]
[mendelson, 1]
[mendicino, 1]
[mendoza, 1]
[mentioned 7]
[mentioned, 2]
[mentioned. 3]
[menu 3]
[menus 1]
[mercer, 1]
[merchandise 2]
[mercury 2]
[mere 1]
[merely 4]
[merge 27]
[merge, 2]
[merge. 3]
[mergeable 1]
[merged 1]
[merger 1]
[merges 1]
[merge-sorting 2]
[merging 12]
[merging, 7]
[merit 7]
[merit, 1]
[merit. 3]
[merits 6]
[merkle, 1]
[merner, 3]
[meromorphic 1]
[merrill, 1]
[mersenne 2]
[mersereau, 1]
[merson 2]
[mertens, 1]
[mesa 2]
[mesa, 1]
[mesa's 1]
[mesh 6]
[mesh-connected 2]
[meshes 1]
[meshes. 1]
[message 23]
[message, 2]
[message. 2]
[message-passing, 1]
[messages 8]
[messages, 6]
[messages. 3]
[message-switched 1]
[messham, 1]
[mesztenyi, 1]
[met 4]
[meta 3]
[meta-assembler 2]
[meta-assembler, 1]
[meta-assemblers 1]
[meta-assembly 1]
[meta-commands 1]
[meta-compiler 1]
[metacompiler, 2]
[metacompilers, 1]
[meta-compilers, 1]
[metacomposition 1]
[meta-instruction 1]
[meta-instructions 2]
[metalanguage 3]
[meta-language 5]
[metalanguages 1]
[metalinguistic 1]
[metaoperators 1]
[metaphase 1]
[metatheory, 2]
[metcalfe, 2]
[meter 1]
[metering, 1]
[method 607]
[method) 1]
[method, 74]
[method. 35]
[method: 2]
[method; 3]
[methodical 2]
[methodological 2]
[methodology 31]
[methodology, 8]
[methods 231]
[methods) 1]
[methods, 26]
[methods. 31]
[methodsfor 1]
[metric 3]
[metric, 3]
[metrics 2]
[mexico, 1]
[meyer 2]
[meyer, 3]
[michigan 3]
[michigan). 1]
[michigan, 1]
[michigan; 1]
[mickunas, 2]
[microassembly 1]
[microcode 1]
[microcode) 1]
[microcode. 1]
[microcomputer 4]
[microcomputers 1]
[microcomputers, 1]
[microcuries. 1]
[microfilm 6]
[micro-flowcharts 1]
[micrographs 1]
[microinstruction) 1]
[microinstruction. 1]
[microphone 1]
[microprocessor 1]
[microprogram 3]
[micro-program 1]
[microprogram. 2]
[microprogrammed 5]
[microprogramming 7]
[microprogramming, 4]
[microprogramming,read-write 1]
[microprogramming: 2]
[microprograms 2]
[microscopic 1]
[microscopy 1]
[microsentence. 1]
[microsentences 4]
[microstorage 2]
[microstorage, 1]
[mid-1965. 1]
[mid-1970s, 1]
[midpoint. 1]
[midway 1]
[mifsud, 7]
[might 15]
[might, 1]
[migration, 1]
[migration. 1]
[milano. 1]
[mild. 1]
[mildly 1]
[miles 1]
[milieu, 1]
[milieus 1]
[military 3]
[millen, 1]
[miller, 5]
[millicuries; 1]
[million 3]
[millo, 1]
[mills, 4]
[millstein, 2]
[milman, 1]
[mimic 1]
[mind 1]
[mind, 1]
[mind. 2]
[mini 1]
[miniature 1]
[minicomputer 5]
[minicomputer, 1]
[minicomputer/microcomputer 1]
[minicomputers 1]
[minicomputers, 2]
[minieka, 1]
[minifun 2]
[minima 1]
[minimal 50]
[minimal) 1]
[minimal. 3]
[minimal-length 1]
[minimally 1]
[minimal-perimeter 1]
[minimal-total-processing 1]
[minimal-total-processing-time 2]
[minimax 7]
[mini-max 4]
[minimax, 1]
[minimization 19]
[minimization, 14]
[minimize 22]
[minimized 6]
[minimized). 1]
[minimized, 2]
[minimized. 1]
[minimized; 1]
[minimizes 11]
[minimizing 25]
[minimizing, 1]
[minimum 58]
[minimum, 3]
[minimum. 4]
[minimum-area 5]
[minimum-cost 4]
[minimum-redundancy 1]
[minimum-space 1]
[ministry 1]
[minit 5]
[minker, 1]
[min-max 1]
[minnesota 1]
[minnick 1]
[minor 4]
[minorities 3]
[minorities, 3]
[minority 3]
[minors, 2]
[minsky, 1]
[minsky. 1]
[minus 3]
[minute 1]
[minute. 1]
[minutes 4]
[minutes) 1]
[mirfag, 1]
[mirfag: 1]
[mirror 1]
[mirror-image 1]
[mi's 1]
[misconceptions 1]
[misfortunes 1]
[misinformation 1]
[misra, 1]
[miss 13]
[misses 1]
[missiles 1]
[missing 3]
[missing-page 3]
[missouri 2]
[misspelled 2]
[misspelling 1]
[misspelling, 1]
[misspellings 5]
[misspellings, 1]
[misspellings. 1]
[mistake 1]
[mistakes 1]
[misunas, 1]
[misunderstandings 1]
[mit 7]
[mitchell, 2]
[mitrani, 1]
[mittman, 1]
[mix 9]
[mix, 1]
[mix. 1]
[mixed 13]
[mixed, 1]
[mixed. 1]
[mixed-radix 5]
[mixes, 1]
[mixing 1]
[mixture 4]
[mixtures 3]
[mixtures, 1]
[miyasaki, 1]
[ml/i 3]
[mn 1]
[mn^2 1]
[mnemonics 1]
[m-norms. 1]
[mobile 3]
[mobol 1]
[mock, 2]
[mode 20]
[mode" 1]
[mode, 6]
[mode. 5]
[mode." 1]
[model 229]
[model, 31]
[model," 1]
[model,network 1]
[model. 21]
[model: 1]
[modeled 6]
[modeling 21]
[modeling, 16]
[modeling. 1]
[modelled 1]
[models 66]
[models, 27]
[models. 8]
[models-are 1]
[moderate 3]
[moderately 2]
[moderately, 1]
[moderator 1]
[modern 9]
[modes 7]
[modes, 2]
[modes. 1]
[modes; 1]
[modest 3]
[modest. 1]
[modiano, 1]
[modifiable 1]
[modification 30]
[modification, 4]
[modification. 2]
[modifications 17]
[modifications, 1]
[modified 54]
[modified, 2]
[modified. 1]
[modifier 1]
[modifier, 1]
[modifies 2]
[modifies, 1]
[modify 7]
[modifying 5]
[modry, 1]
[modula 1]
[modula. 1]
[modular 12]
[modularity, 2]
[modularization 2]
[modularizing 1]
[modulation 2]
[module 6]
[module, 2]
[modules 11]
[modules, 5]
[modules. 5]
[modulo 3]
[modulo) 1]
[modulus 5]
[modulus, 3]
[mold 2]
[molded 1]
[molecular 5]
[molecular-orbital 1]
[molecules 1]
[moler, 4]
[moment 5]
[moment, 1]
[moment. 1]
[moments 5]
[moments, 3]
[moments. 1]
[mondrup, 1]
[monica, 1]
[monitor 30]
[monitor, 11]
[monitor. 2]
[monitor: 1]
[monitoring 11]
[monitoring, 2]
[monitors 5]
[monitor's 1]
[monitors, 8]
[monitors. 1]
[monitors: 2]
[mono-programmed 1]
[monotone 3]
[monotonic 8]
[monotonic, 1]
[monotonicity 1]
[monotonous 1]
[montalbano, 1]
[montanari, 4]
[montanelli, 2]
[montangero, 1]
[monte 22]
[montgomery, 1]
[month 1]
[month, 1]
[monthly 1]
[months 6]
[month's 1]
[months, 1]
[months. 2]
[montillon, 1]
[mood, 1]
[mooers' 1]
[mooers, 3]
[moon* 1]
[moon. 1]
[moore 3]
[moore, 9]
[moorer, 1]
[moorer's 1]
[mor, 1]
[moral; 1]
[moratorium 1]
[more 229]
[more, 1]
[morel, 1]
[morelock, 1]
[morenoff, 2]
[moreover 2]
[moreover, 9]
[moreover,the 1]
[morgan, 7]
[morpurgo, 1]
[morris 5]
[morris, 12]
[morrison, 1]
[morse, 2]
[mortem 2]
[moscow 2]
[moses' 1]
[moses, 4]
[moss, 2]
[mossbauer 1]
[mossiere, 1]
[most 145]
[mostfind 1]
[mostly 3]
[motion 11]
[motion. 1]
[motions 2]
[motions. 1]
[motivated 3]
[motivates 1]
[motivating 1]
[motivation 3]
[motivation, 1]
[motivation. 1]
[motive 1]
[motives 1]
[motor 1]
[motzkin, 1]
[moulton, 2]
[mount 1]
[mountable. 1]
[mounts 1]
[moursund, 1]
[movable 3]
[move 6]
[move, 1]
[move. 1]
[moveable 1]
[moved 1]
[moved, 2]
[moved. 2]
[movement 2]
[movement. 1]
[movements 2]
[movie 2]
[movie, 1]
[movie. 1]
[movies 3]
[moving 11]
[moving, 2]
[moving-head 2]
[mpe's 1]
[mps 2]
[mr. 2]
[mst 2]
[mst's 1]
[mtpt 3]
[mtpt, 1]
[mts 1]
[mu(name 1]
[mu5 4]
[much 62]
[muchhigher 1]
[mudd 1]
[mueller, 2]
[mulawa, 1]
[mullen, 1]
[muller, 6]
[muller's 2]
[mullery, 1]
[mullin, 3]
[multi 1]
[multiaccess 9]
[multiattribute 1]
[multi-attribute 3]
[multichannel 1]
[multicharacter 1]
[multiclass 1]
[multi-class 1]
[multicomputer 1]
[multiconsole 2]
[multics 15]
[multics), 1]
[multics, 3]
[multidestination 1]
[multidigit 1]
[multidimensional 16]
[multi-dimensional 3]
[multifactor 3]
[multifield 4]
[multifunctional 1]
[multi-index 1]
[multi-interpreter 2]
[multi-item 1]
[multi-key 1]
[multilevel 14]
[multi-level 2]
[multilingual 2]
[multilinked 1]
[multilist 3]
[multilist, 1]
[multi-loop 1]
[multimachine 1]
[multimedia 1]
[multi-mini-processor. 1]
[multinomial 2]
[multint 3]
[multipass 1]
[multipath 1]
[multiphase 1]
[multiphase, 1]
[multiple 75]
[multiple, 2]
[multiple-hierarchical 1]
[multiple-input 1]
[multiple-lags 1]
[multiple-output 1]
[multiple-path 1]
[multiple-precision 6]
[multiple-precision, 2]
[multiple-processes 1]
[multiple-reel 1]
[multiple-regression 1]
[multiple's 1]
[multiple-synonymous 1]
[multiple-terminal 1]
